Date,Close,High,Low,Open,Volume
2023-10-10,135.0,135.0,135.0,135.0,21620800
2023-10-11,182.0,182.0,170.0,182.0,555764600
2023-10-12,244.0,244.0,186.0,240.0,510471200
2023-10-13,304.0,304.0,246.0,254.0,351297900
2023-10-16,228.0,380.0,228.0,312.0,592372900
2023-10-17,171.0,218.0,171.0,216.0,341430800
2023-10-18,192.0,212.0,140.0,166.0,455769400
2023-10-19,204.0,232.0,181.0,195.0,550024700
2023-10-20,224.0,242.0,199.0,208.0,305086700
2023-10-23,280.0,280.0,222.0,228.0,208130800
2023-10-24,298.0,326.0,288.0,298.0,182978500
2023-10-25,280.0,300.0,270.0,280.0,58440700
2023-10-26,252.0,308.0,252.0,290.0,93801100
2023-10-27,314.0,314.0,252.0,254.0,428896400
2023-10-30,326.0,360.0,272.0,328.0,393773900
2023-10-31,406.0,406.0,326.0,326.0,298280600
2023-11-01,384.0,426.0,366.0,426.0,118374000
2023-11-02,382.0,410.0,360.0,386.0,135574600
2023-11-03,340.0,390.0,332.0,382.0,133013000
2023-11-06,334.0,384.0,308.0,340.0,347983000
2023-11-07,314.0,362.0,300.0,334.0,306287900
2023-11-08,268.0,332.0,254.0,314.0,390291400
2023-11-09,310.0,316.0,278.0,278.0,322171100
2023-11-10,338.0,338.0,296.0,316.0,418198900
2023-11-13,388.0,388.0,334.0,342.0,266916300
2023-11-14,436.0,440.0,388.0,388.0,216853500
2023-11-15,394.0,462.0,378.0,440.0,413869100
2023-11-16,350.0,408.0,350.0,392.0,179712300
2023-11-17,264.0,356.0,264.0,346.0,787025500
2023-11-20,198.0,262.0,198.0,262.0,405924000
2023-11-21,129.0,188.0,129.0,188.0,1540439600
2023-11-22,116.0,134.0,98.0,125.0,491724000
2023-11-23,121.0,132.0,108.0,108.0,1337835800
2023-11-24,124.0,135.0,117.0,123.0,1837156700
2023-11-27,113.0,130.0,109.0,125.0,2265395100
2023-11-28,92.0,121.0,92.0,114.0,2164808600
2023-11-29,79.0,97.0,73.0,92.0,1792881800
2023-11-30,80.0,84.0,76.0,80.0,430491900
2023-12-01,83.0,89.0,79.0,80.0,1031752000
2023-12-04,90.0,94.0,83.0,84.0,1095745200
2023-12-05,84.0,96.0,78.0,91.0,1369087100
2023-12-06,76.0,86.0,74.0,85.0,1406748800
2023-12-07,67.0,77.0,67.0,76.0,154867300
2023-12-08,57.0,68.0,55.0,68.0,189860700
2023-12-11,57.0,57.0,57.0,57.0,0
2023-12-12,52.0,60.0,50.0,50.0,197045000
2023-12-13,50.0,53.0,50.0,52.0,85671400
2023-12-14,50.0,50.0,50.0,50.0,6147900
2023-12-15,50.0,50.0,50.0,50.0,3890100
2023-12-18,50.0,50.0,50.0,50.0,2758800
2023-12-19,50.0,50.0,50.0,50.0,2250700
2023-12-20,50.0,50.0,50.0,50.0,916100
2023-12-21,52.0,63.0,50.0,50.0,698631900
2023-12-22,51.0,55.0,50.0,54.0,98171300
2023-12-27,50.0,53.0,50.0,51.0,81843100
2023-12-28,50.0,51.0,50.0,50.0,14707600
2023-12-29,51.0,53.0,50.0,50.0,57376400
2024-01-02,55.0,57.0,51.0,51.0,328691100
2024-01-03,63.0,71.0,55.0,56.0,2312650200
2024-01-04,68.0,74.0,63.0,64.0,2666940700
2024-01-05,65.0,75.0,62.0,68.0,2462049800
2024-01-08,59.0,67.0,58.0,67.0,1056303100
2024-01-09,63.0,66.0,59.0,59.0,1062613100
2024-01-10,60.0,68.0,58.0,64.0,2285116700
2024-01-11,50.0,62.0,50.0,61.0,2661944800
2024-01-12,50.0,50.0,50.0,50.0,52410500
