Date,Close,High,Low,Open,Volume
2023-07-03,50.0,50.0,50.0,50.0,500
2023-07-04,50.0,50.0,50.0,50.0,500
2023-07-05,50.0,50.0,50.0,50.0,500
2023-07-06,50.0,50.0,50.0,50.0,500
2023-07-07,50.0,50.0,50.0,50.0,400
2023-07-10,50.0,50.0,50.0,50.0,100
2023-07-11,50.0,50.0,50.0,50.0,0
2023-07-12,50.0,50.0,50.0,50.0,1000
2023-07-13,50.0,50.0,50.0,50.0,1000
2023-07-14,50.0,50.0,50.0,50.0,2100
2023-07-17,50.0,50.0,50.0,50.0,3000
2023-07-18,50.0,50.0,50.0,50.0,0
2023-07-20,50.0,50.0,50.0,50.0,600
2023-07-21,50.0,50.0,50.0,50.0,1000
2023-07-24,50.0,50.0,50.0,50.0,0
2023-07-25,50.0,50.0,50.0,50.0,0
2023-07-26,50.0,50.0,50.0,50.0,200
2023-07-27,50.0,50.0,50.0,50.0,3100
2023-07-28,50.0,50.0,50.0,50.0,500
2023-07-31,50.0,50.0,50.0,50.0,500
2023-08-01,50.0,50.0,50.0,50.0,300
2023-08-02,50.0,50.0,50.0,50.0,0
2023-08-03,50.0,50.0,50.0,50.0,0
2023-08-04,50.0,50.0,50.0,50.0,3000
2023-08-07,50.0,50.0,50.0,50.0,1000
2023-08-08,50.0,50.0,50.0,50.0,600
2023-08-09,50.0,50.0,50.0,50.0,100
2023-08-10,50.0,50.0,50.0,50.0,0
2023-08-11,50.0,50.0,50.0,50.0,0
2023-08-14,50.0,50.0,50.0,50.0,0
2023-08-15,50.0,50.0,50.0,50.0,100
2023-08-16,50.0,50.0,50.0,50.0,0
2023-08-18,50.0,50.0,50.0,50.0,0
2023-08-21,50.0,50.0,50.0,50.0,0
2023-08-22,50.0,50.0,50.0,50.0,500
2023-08-23,50.0,50.0,50.0,50.0,0
2023-08-24,50.0,50.0,50.0,50.0,0
2023-08-25,50.0,50.0,50.0,50.0,500
2023-08-28,50.0,50.0,50.0,50.0,0
2023-08-29,50.0,50.0,50.0,50.0,2000
2023-08-30,50.0,50.0,50.0,50.0,20300
2023-08-31,50.0,50.0,50.0,50.0,0
2023-09-01,50.0,50.0,50.0,50.0,100
2023-09-04,50.0,50.0,50.0,50.0,3500
2023-09-05,50.0,50.0,50.0,50.0,400
2023-09-06,50.0,50.0,50.0,50.0,2000
2023-09-07,50.0,50.0,50.0,50.0,0
2023-09-08,50.0,50.0,50.0,50.0,0
2023-09-11,50.0,50.0,50.0,50.0,0
2023-09-12,50.0,50.0,50.0,50.0,0
2023-09-13,50.0,50.0,50.0,50.0,0
2023-09-14,50.0,50.0,50.0,50.0,20000
2023-09-15,50.0,50.0,50.0,50.0,300
2023-09-18,50.0,50.0,50.0,50.0,0
2023-09-19,50.0,50.0,50.0,50.0,1800
2023-09-20,50.0,50.0,50.0,50.0,500
2023-09-21,50.0,50.0,50.0,50.0,500
2023-09-22,50.0,50.0,50.0,50.0,0
2023-09-25,50.0,50.0,50.0,50.0,0
2023-09-26,50.0,50.0,50.0,50.0,500
2023-09-27,50.0,50.0,50.0,50.0,0
2023-09-29,50.0,50.0,50.0,50.0,0
2023-10-02,50.0,50.0,50.0,50.0,300
2023-10-03,50.0,50.0,50.0,50.0,0
2023-10-04,50.0,50.0,50.0,50.0,100
2023-10-05,50.0,50.0,50.0,50.0,0
2023-10-06,50.0,50.0,50.0,50.0,3000
2023-10-09,50.0,50.0,50.0,50.0,100
2023-10-10,50.0,50.0,50.0,50.0,0
2023-10-11,50.0,50.0,50.0,50.0,500
2023-10-12,50.0,50.0,50.0,50.0,0
2023-10-13,50.0,50.0,50.0,50.0,1000
2023-10-16,50.0,50.0,50.0,50.0,0
2023-10-17,50.0,50.0,50.0,50.0,0
2023-10-18,50.0,50.0,50.0,50.0,0
2023-10-19,50.0,50.0,50.0,50.0,5700
2023-10-20,50.0,50.0,50.0,50.0,500
2023-10-23,50.0,50.0,50.0,50.0,0
2023-10-24,50.0,50.0,50.0,50.0,100
2023-10-25,50.0,52.0,50.0,50.0,313100
2023-10-26,50.0,53.0,50.0,50.0,53700
2023-10-27,50.0,50.0,50.0,50.0,21000
2023-10-30,50.0,50.0,50.0,50.0,100
2023-10-31,50.0,50.0,50.0,50.0,0
2023-11-01,50.0,50.0,50.0,50.0,0
2023-11-02,50.0,50.0,50.0,50.0,3000
2023-11-03,50.0,50.0,50.0,50.0,0
